google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Cannabis Discounter,4.0,83,OPERATIONAL,"2063 111 St NW, Edmonton, AB T6J 4V9, Canada",ChIJT_lscEofoFMRZotKTv1uZOo,Cannabis Discounter,11452 JASPER AVE NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,12743 VICTORIA  TRAIL NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,6560 170 AVE NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,16526 59A ST NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,4212 66 ST NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,18320 LESSARD RD NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,4-9977 178 STREET NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,18920 87 AVE NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,8157 99 ST NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,10888 JASPER AVE NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,3333 34 ST NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,236-6655 178 ST NW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,16436 ELLERSLIE ROAD SW
Cannabis House whyte Ave,4.7,15,OPERATIONAL,"8157 99 St NW, Edmonton, AB T6E 3S9, Canada",ChIJJeoc7yYjoFMR6exiofZWPU4,Cannabis House,20-6964 76 AVE NW
CANNABIS LIFE,4.8,60,OPERATIONAL,"9329 156 St NW, Edmonton, AB T5R 1Z5, Canada",ChIJN_Ufw3QhoFMRCFmc2gdQZhI,Cannabis Life,9329 156 ST NW
Cannabis Revolution,4.3,23,OPERATIONAL,"8062 167 Ave NW, Edmonton, AB T5Z 0E5, Canada",ChIJXbBLNNI7oFMRAVml5oLeGgA,Cannabis Revolution,8062 167 AVE NW
Cannabis Spot,4.8,36,OPERATIONAL,"6914 77 St NW, Edmonton, AB T6E 6V2, Canada",ChIJG5suCdYZoFMRiz2N4OeigbI,Cannabis Spot,6914 77 ST NW
Cannabis Station,3.5,92,OPERATIONAL,"187A Bonnie Doon Shopping Center NW, Edmonton, AB T6C 0S7, Canada",ChIJ_UlBIIkjoFMRXxM2bs7TJQg,Cannabis Station,187A-1 BONNIE DOON SHOPPING CENTRE NW
Cannabis world,4.8,60,OPERATIONAL,"3385 28a Ave NW, Edmonton, AB T6T 0P9, Canada",ChIJPz0bfiAZoFMRuPfVOBoPhXc,Cannabis World,3385 28A AVE NW
CREST CANNABIS CASTLE,4.2,57,OPERATIONAL,"3412 118 Ave NW #101, Edmonton, AB T5W 0Z4, Canada",ChIJPQmyGog9oFMR84WlsoKFZlk,Crest Cannabis Castle,101-3412 118 AVE NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,8329 CHAPPELLE WAY SW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,11242 82 ST NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,14608 50 ST NW
